16181,term_id,name,post_title,comments,timestamp
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Εξέλιξη που δίνει την δυνατότητα σε στελέχη να παραμένουν ενεργά.Να προσφέρουν με την εμπειρία τους και να αποτελούν παράδειγμα προς μίμηση για τους Έλληνες Αξιωματικούς.,2024-09-29T14:30:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Ευχάριστη εξέλιξη για όσους συναδέλφους εχουν κλείσει 35ετία και θέλουν να συνεχίσουν λίγο ακόμη σε ενέργεια,ταυτόχρονα κλείνουν και στόματα πολιτών που κατηγορούν εμάς οτι φεύγουμε νωρίς για συνταξιοδότηση..!!!!",2024-09-29T14:41:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Εύχομαι το συγκεκριμένο άρθρο να γίνει και νόμος του Κράτους αφού θα δίνει το δικαίωμα σε Αξιωματικούς με μεγάλη επαγγελματική εμπειρία και γνώσης να συνεχίσουν να προσφέρουν στις ένοπλες  δυνάμεις όταν άλλη συνάδελφοι τους έφευγαν μεταξύ 25 και 30 χρονών υπηρεσίας  για να προλάβουν να πάρουν  μεγαλύτερη  σύνταξη και εφάπαξ. 
",2024-09-29T14:51:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Πολύ καλή εξέλιξη για όσους συναδέλφους επιθυμούν να συνεχίσουν και πέραν της 35ετιας να προσφέρουν την εμπειρία τους και τις υπηρεσίες τους στις Ε.Δ. μας δίνεται η δυνατότητα να εργαστούμε στο αντικείμενο που αγαπήσαμε, βιώσαμε και αποτελεί το μεγαλύτερο κομμάτι της ζωής μας.
Πάρα ταύτα τα στελέχη των ειδικών δυνάμεων του Πολεμικού Ναυτικού  ( Υ/ΚΤ ) πως θα συνεχίσουν να επιχειρούν και να μεταδίδουν την εμπειρία τους και τις γνώσεις τους χωρίς να καταδύονται ή να πέφτουν με το αλεξίπτωτο , κόβοντας αυτό το προνόμιο ( και το οικονομικό επίδομα )  πως θα διδάξει καταδύσεις κάποιος χωρίς να καταδυθεί.
Οπωσδήποτε είναι μια πολύ καλή εξέλιξη που δίνει την δυνατότητα σε στελέχη να παραμένουν ενεργά και να αποτελούν παράδειγμα προς μίμηση.",2024-09-29T14:56:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Πολύ καλή εξέλιξη για όσους συναδέλφους επιθυμούν να συνεχίσουν και πέραν της 35ετιας να προσφέρουν την εμπειρία τους και τις υπηρεσίες τους στις Ε.Δ. Βοηθάει πολλές οικογένειες συναδέλφων στην δύσκολη οικονομική συγκυρία. Δίνει την ευκαιρία σε ανθρώπους που νοιώθουν ζωντανοί και δυνατοί να συνεχίσουν να εργάζονται στο αντικείμενο για το οποίο επένδυσε η πατρίδα επάνω τους. Τέλος για μια μικρή μερίδα συναδέλφων του Π.Ν (Δεν γνωρίζω αν ισχύει για τα άλλα σώματα) που καταταχτήκαμε σε ηλικία 15 ετών και τώρα είμαστε 50, στην πιο παραγωγική μας ηλικία, μας δίνεται η δυνατότητα να εργαστούμε στο αντικείμενο που αγαπήσαμε, βιώσαμε και αποτελεί το μεγαλύτερο κομμάτι της ζωής μας.",2024-09-29T15:09:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Επιτέλους η πολιτική ηγεσία εισάκουσε ένα δίκαιο αίτημα των εμπειρότερων εν ενεργεία στελεχών των ΕΔ.Έτσι λοιπόν λαμβάνοντας υπόψιν τη πολυετή τους υπηρεσία και αναγνωρίζοντας την εμπειρία και τις γνώσεις που έχουν συλλέξει τους δίνει το δικαίωμα να συνεχίσουν να υπηρετούν τη πατρίδα στη πλέον παραγωγική τους ηλικία.,2024-09-29T15:17:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,ΜΠΡΑΒΟ ΓΙΑΤΙ ΘΑ ΜΠΟΡΟΥΜΕ ΝΑ ΠΡΟΣΦΕΡΟΥΜΕ  ΝΕΟΙ ΑΝΘΡΩΠΟΙ-ΕΜΠΕΙΡΟΙ . ΜΑΚΑΡΙ.,2024-09-29T15:30:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Πολύ καλή η αναμενόμενη εξέλιξη προκειμένου να παραμείνουν στην ενεργό υπηρεσία συνάδελφοι που επιθυμούν να παραμείνουν πλέον της 35ετιας που με την εμπειρία τους και τη γνώση τους θα προσφέρουν επιπλεον στις ΕΔ. Αρνητικό εν μέρει η πλήρη παυση αποζημίωσης όσων λαμβάνουν επιδόματα κινδύνου (εξουδετέρωσεις καταδύσεις άλματα κτλ) πού ενω έως σήμερα ασκούν τα καθήκοντά τους ανελλιπώς θα βρεθούν την επόμενη σε δύσκολη κυριως ψυχολογική κατάσταση λόγω ότι δεν θα αμοιβονται πλεον. Πρότασή μου η αποζημίωση  να καθορισθεί τουλάχιστον  κατά το ήμισυ. Προσωπικα δεν υπάγομαι στην κατηγορία αυτή αλλά τη αδικία που θα επέλθει την βλέπω ήδη  σε συναδέλφους που εκτελούν σχεδον καθημερινά τα παραπανω,2024-09-29T15:32:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Ο νομοθέτης πρέπει να προβλέψει και όσους Αξιωματικους προέρχονται από ΕΜΘ οι οποίοι εισήλθαν στο στράτευμα σε ηλικία 21 ετών και άνω και έχοντας πραγματική υπηρεσία 32 έτη αποστρατευονται ευδοκιμως λόγω ηλικίας 53 ετών Λοχαγος/Υποπλοιαρχος.,2024-09-29T15:38:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Αρνητικό εν μέρει η πλήρη παυση αποζημίωσης όσων λαμβάνουν επιδόματα κινδύνου (εξουδετέρωσεις καταδύσεις άλματα κτλ) πού ενω έως σήμερα ασκούν τα καθήκοντά τους ανελλιπώς θα βρεθούν την επόμενη σε δύσκολη κυριως ψυχολογική κατάσταση λόγω ότι δεν θα αμοιβονται πλεον. Πρότασή μου η αποζημίωση να καθορισθεί τουλάχιστον κατά το ήμισυ.ειναι ομως μια εξαιρετικη προταση.,2024-09-29T15:39:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"ΚΑΤΙ ΠΟΥ ΕΠΡΕΠΕ ΝΑ ΕΧΕΙ ΓΙΝΕΙ ΕΔΩ ΚΑΙ ΧΡΟΝΙΑ,ΕΧΟΥΜΕ ΑΚΟΜΗ ΠΟΛΛΑ ΝΑ ΔΩΣΟΥΜΕ ΣΕ ΑΥΤΟ ΠΟΥ ΑΓΑΠΗΣΑΜΕ",2024-09-29T15:43:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Κρίνω πως η πολιτική ηγεσία του Υπουργείου Εθνικής Άμυνας δίνει λύση σε ένα χρόνιο αίτημα πολλών στελεχών των Ε.Δ., που επιθυμούν να παραμείνουν στο στράτευμα και να συνεχίσουν να προσφέρουν με την εμπειρία τους και την επαγγελματική κατάρτιση. Δεν μπορεί από την μία η κοινή γνώμη να μιλά για στρατιές νεότατων συνταξιούχων, χωρίς όμως και από την άλλη να μην δίνεται η δυνατότητα στα στελέχη να παραμείνουν εφ' όσον το επιθυμούν. Εύχομαι η συγκεκριμένη πρόταση να γίνει και Νόμος του κράτους.",2024-09-29T15:45:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Είναι αδιανόητο για την κοινωνία εν έτη 2017, να υπάρχουν εργαζόμενοι που να λαμβάνουν πλήρη σύνταξη σε ηλικία 52 ετών, όταν οι άλλοι συμπολίτες μας είναι υποχρεωμένοι να εργάζονται έως τα 67 και πλέον έτη.
Επιτέλους πρυτάνευσε η κοινή λογική και δύνεται η δυνατότητα σε αξιόλογα στελέχη των Ε.Δ. με επαγγελματική εμπειρία, να παραμείνουν στο στράτευμα και να προσφέρουν τη γνώση που έχουν αποκτήσει στα 35 χρόνια υπηρεσίας-προσφοράς στις Ε.Δ.",2024-09-29T15:53:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,Ευχάριστη εξέλιξη για όσους επιθυμούν να παραμείνουν.Μακάρι να γίνει και Νόμος του κράτους σύντομα.,2024-09-29T16:01:00+00:00Z
16181,74,Ρυθμίσεις περί σταδιοδρομίας και εξέλιξης στελεχών και οικονομικής μέριμνας και λογιστικού των Ενόπλων Δυνάμεων,Άρθρο 01 - Ειδικές κατηγορίες αξιωματικών Εκτός Οργανικών Θέσεων,"Η Πολιτική ηγεσιία κατανοώντας  τους δύσκολους καιρους που περνάει η πατρίδα μας, με το συγκεκριμένο άρθρο διασφαλίζει  να παραμείνουν στις τάξεις των Ε.Δ.έμπειρα στελέχη τα οποία θα εξακολουθήσουν να εργάζονται άγαστα και να προσφέρουν τις υπηρεσίές τους στον Ελληνικό Λαό, επιπλέον δημιουργει την εικόνα κοινωνικής και εργασιακής  ισονομίας  όταν άλλες επαγγελματικές ομάδες έχουν πολύ μεγαλύτερο εργασιακό βίο και τέλος σε αύτη την δύσκολη οικονομική κατάταση που βίώνουμε όλοι μας δημιουργει ένα δίχτυ ασφαλείας για πολλές οικογένειες συναδέλφων !!",2024-09-29T16:10:00+00:00Z
